Company,Industry,Short Description (< 5 words),Title,Tag,Year,Link
Stitch Fix,E-commerce and retail,Personalize styling recommendations,Accelerating AI: Implementing Multi-GPU Distributed Training for Personalized Recommendations,"ops,recommender system",2023,https://multithreaded.stitchfix.com/blog/2023/06/08/distributed-model-training/
Doordash,Delivery and mobility,Areas for using Generative AI,DoorDash identifies Five big areas for using Generative AI,generative AI,2023,https://doordash.engineering/2023/04/26/doordash-identifies-five-big-areas-for-using-generative-ai/
Etsy,E-commerce and retail,Search by image,From Image Classification to Multitask Modeling: Building Etsy’s Search by Image Feature,"CV,search",2023,https://www.etsy.com/codeascraft/from-image-classification-to-multitask-modeling-building-etsys-search-by-image-feature
Spotify,Media and streaming,Generate audio podcast previews,Large-Scale Generation of ML Podcast Previews at Spotify with Google Dataflow,product feature,2023,https://engineering.atspotify.com/2023/04/large-scale-generation-of-ml-podcast-previews-at-spotify-with-google-dataflow/
Delivery Hero,Delivery and mobility,Better understand user behavior ,Personalisation @ Delivery Hero: Understanding Customers,recommender system,2023,https://tech.deliveryhero.com/personalisation-at-delivery-hero-understanding-customers/
Swiggy,Delivery and mobility,Predict food delivery time,Predicting Food Delivery Time at Cart,ETA prediction,2023,https://bytes.swiggy.com/predicting-food-delivery-time-at-cart-cda23a84ba63
Netflix,Media and streaming,Generate content recommendations for users,Lessons Learnt From Consolidating ML Models in a Large Scale Recommendation System,recommender system,2023,https://netflixtechblog.medium.com/lessons-learnt-from-consolidating-ml-models-in-a-large-scale-recommendation-system-870c5ea5eb4a 
Linkedin,Social platforms,Show relevant jobs in search,How LinkedIn Is Using Embeddings to Up Its Match Game for Job Seekers,search,2023,https://engineering.linkedin.com/blog/2023/how-linkedin-is-using-embeddings-to-up-its-match-game-for-job-se
Expedia,"Travel,E-commerce and retail",Alert users about optimal deals,Increasing Travelers’ Engagement Through Price Alerts,"pricing,content personalization",2023,https://medium.com/expedia-group-tech/increasing-travelers-engagement-through-relevant-price-alerts-at-expedia-group-75aa6a377864
Walmart,E-commerce and retail,Resolve entities and detect relationships,Exploring an Entity Resolution Framework Across Various Use Cases,"ops,item classificatiion",2023,https://medium.com/walmartglobaltech/exploring-an-entity-resolution-framework-across-various-use-cases-cb172632e4ae
Thoughtworks ,Tech,AI copilot for product strategy,Building Boba AI,generative AI,2023,https://martinfowler.com/articles/building-boba.html
Grab,"Delivery and mobility,Banking and finance",Automatically detect new fraud types,Unsupervised graph anomaly detection - Catching new fraudulent behaviours,fraud detection,2023,https://engineering.grab.com/graph-anomaly-model
Dropbox,Tech,Identify date formats in file names,Is this a date? Using ML to identify date formats in file names,"ops,product feature",2023,https://dropbox.tech/machine-learning/using-ml-to-identify-date-formats-in-file-names
Grab,"Delivery and mobility,Banking and finance",Сreate scalable lookalike audiences ,Stepping up marketing for advertisers: Scalable lookalike audience,ad ranking / targeting,2023,https://engineering.grab.com/scalable-lookalike-audiences
Wayfair,E-commerce and retail,Send relevant communications to customers ,Griffin: How Wayfair Leverages Reinforcement Learning to Send Customers Relevant Communications,content personalization,2023,https://www.aboutwayfair.com/careers/tech-blog/griffin-how-wayfair-leverages-reinforcement-learning-to-send-customers-relevant-communications
Whatnot,E-commerce and retail,Detect marketplace spam,How Whatnot Utilizes Generative AI to Enhance Trust and Safety,"generative AI,spam/content moderation",2023,https://medium.com/whatnot-engineering/how-whatnot-utilizes-generative-ai-to-enhance-trust-and-safety-c7968eb6315e
Instacart,E-commerce and retail,Predict grocery item availability,How Instacart’s Item Availability Evolved Over the Pandemic,demand forecasting,2023,https://www.instacart.com/company/how-its-made/how-instacarts-item-availability-evolved-over-the-pandemic/
Instacart,E-commerce and retail,Predict availability of food items,Instacart’s Item Availability Architecture: Solving for scale and consistency,demand forecasting,2023,https://tech.instacart.com/instacarts-item-availability-architecture-solving-for-scale-and-consistency-f5661acb20a6
BlaBlaCar,Delivery and mobility,Prevent phishing and payment fraud,How we built our machine learning pipeline to fight fraud at BlaBlaCar — Part 2,fraud detection,2023,https://medium.com/blablacar/how-we-built-our-machine-learning-pipeline-to-fight-fraud-at-blablacar-part-2-476335f459b4
Salesforce,Tech,Summarize Slack conversations,"AI Summarist: Get Your Time Back on Slack, Boost Productivity & Focus, Personalize Information Consumption","generative AI,product feature",2023,https://blog.salesforceairesearch.com/ai-summarist-slack-productivity
Meta,Social platforms,Show users relevant content at scale,Scaling the Instagram Explore recommendations system,recommender system,2023,https://engineering.fb.com/2023/08/09/ml-applications/scaling-instagram-explore-recommendations-system/
Delivery Hero,Delivery and mobility,Recommend restaurants for new customers,Personalisation @ Delivery Hero: Ranking restaurants for new users,recommender system,2023,https://tech.deliveryhero.com/personalisation-delivery-hero-ranking-restaurants-for-new-users/
Swiggy,Delivery and mobility,Predict food delivery time,How ML Powers — When is my order coming? — Part II,ETA prediction,2023,https://bytes.swiggy.com/how-ml-powers-when-is-my-order-coming-part-ii-eae83575e3a9
Salesforce,Tech,Recommend apps in the marketplace,On the Diversity and Explainability of Enterprise App Recommendation Systems,recommender system,2023,https://blog.salesforceairesearch.com/diversity-explainability-enterprise-app-recommendation-systems/
Grab,"Delivery and mobility,Banking and finance",Optimize promotional campaigns,Scaling marketing for merchants with targeted and intelligent promos,ad ranking / targeting,2023,https://engineering.grab.com/scaling-marketing-for-merchants
GitHub,Tech,Automated code reviews and PR tagging,Generative AI-enabled compliance for software development,generative AI,2023,https://github.blog/2023-04-11-generative-ai-enabled-compliance-for-software-development
Delivery Hero,Delivery and mobility,Recommend restaurants,"Don’t Worry, We Got You: Personalised Model",recommender system,2023,https://tech.deliveryhero.com/dont-worry-we-got-you-personalised-model-2/
OLX,E-commerce and retail,Predict order delivery time,Machine Learning for Delivery Time Estimation,ETA prediction,2023,https://tech.olx.com/machine-learning-for-delivery-time-estimation-1-591c8df849a0
Spotify,Media and streaming,Target in-app messaging,Experimenting with Machine Learning to Target In-App Messaging,"content personalization,product feature",2023,https://engineering.atspotify.com/2023/06/experimenting-with-machine-learning-to-target-in-app-messaging/
Nubank,Fintech and banking,Automatically route customer phone calls,"Presenting Precog, Nubank’s Real Time Event AI",product feature,2023,https://building.nubank.com.br/presenting-precog-nubanks-real-time-event-ai/
Instacart,E-commerce and retail,Build an internal AI assistant,Scaling Productivity with Ava — Instacart’s Internal AI Assistant,generative AI,2023,https://tech.instacart.com/scaling-productivity-with-ava-instacarts-internal-ai-assistant-ed7f02558d84
Meta,Social platforms,Translate and transcribe across speech and text,Bringing the world closer together with a foundational multimodal model for speech translation,NLP,2023,https://ai.meta.com/blog/seamless-m4t/
Vimeo,Media and streaming,Customer support AI assistant,From idea to reality: Elevating our customer support through generative AI,"generative AI,customer support",2023,https://medium.com/vimeo-engineering-blog/from-idea-to-reality-elevating-our-customer-support-through-generative-ai-101a2c5ea680
Ebay,E-commerce and retail,Recommend relevant e-commerce items,Building a Deep Learning Based Retrieval System for Personalized Recommendations,recommender system,2022,https://tech.ebayinc.com/engineering/building-a-deep-learning-based-retrieval-system-for-personalized-recommendations/
Mercado Libre,Delivery and mobility,Predict product dimensions for delivery,Predicting package dimensions based on a similarity model at Mercado Libre,"ops,product feature",2022,https://medium.com/mercadolibre-tech/predicting-package-dimensions-based-on-a-similarity-model-at-mercado-libre-d64a9dd4351d
Doordash,Delivery and mobility,Recommend substitute items,Evolving DoorDash’s Substitution Recommendations Algorithm,"product feature,recommender system",2022,https://doordash.engineering/2022/09/08/evolving-doordashs-substitution-recommendations-algorithm/
Pinterest,Social platforms,Personalize homepage contents,How Pinterest Leverages Realtime User Actions in Recommendation to Boost Homefeed Engagement Volume,recommender system,2022,https://medium.com/pinterest-engineering/how-pinterest-leverages-realtime-user-actions-in-recommendation-to-boost-homefeed-engagement-volume-165ae2e8cde8 
Instacart,Delivery and mobility,Search food and grocery items,How Instacart Uses Embeddings to Improve Search Relevance,search,2022,https://tech.instacart.com/how-instacart-uses-embeddings-to-improve-search-relevance-e569839c3c36
Walmart,E-commerce and retail,Assist in e-commerce shopping ,A Unified Multi-task Model for Supporting Multiple Virtual Assistants in Walmart,"chatbot,NLP,voice interface",2022,https://medium.com/walmartglobaltech/a-unified-multi-task-model-for-supporting-multiple-virtual-assistants-in-walmart-2b077c2c96e
Spotify,Media and streaming,Search for podcasts,Introducing Natural Language Search for Podcast Episodes,"search,NLP",2022,https://engineering.atspotify.com/2022/03/introducing-natural-language-search-for-podcast-episodes/
Nextdoor,Social platforms,Predict harmful comments ,Using predictive technology to foster constructive conversations,"NLP,spam / content moderation",2022,https://engblog.nextdoor.com/using-predictive-technology-to-foster-constructive-conversations-4af437942bd4
Walmart,E-commerce and retail,Fill shopping cart via voice dialog,Voice Reorder Experience: add Multiple Product Items to your shopping cart,voice interface,2022,https://medium.com/walmartglobaltech/voice-reorder-experience-add-multiple-product-items-to-your-shopping-cart-59d20fc61797
Expedia,"Travel,E-commerce and retail",Categorize customer feedback,Categorising Customer Feedback Using Unsupervised Learning,"NLP,item classification",2022,https://medium.com/expedia-group-tech/categorising-customer-feedback-using-unsupervised-learning-8608c1e62d48
Foodpanda,Delivery and mobility,Classify restaurants and cuisines,Classifying restaurant cuisines with subjective labels,item classification,2022,https://medium.com/foodpanda-data/classifying-restaurant-cuisines-with-subjective-labels-fa10012d18a9 
Ebay,Social platforms,Recommend products and content,Multi-Relevance Ranking Model for Similar Item Recommendation,recommender system,2022,https://tech.ebayinc.com/engineering/multi-relevance-ranking-model-for-similar-item-recommendation/
Gousto,Delivery and mobility,Predict subscription churn,Using Data Science to Retain Customers,churn prediction,2022,https://medium.com/gousto-engineering-techbrunch/using-data-science-to-retain-customers-63f19a03a0b6
Google,Tech,Generate summaries,Auto-generated Summaries in Google Docs,"product feature,NLP,generative AI",2022,https://ai.googleblog.com/2022/03/auto-generated-summaries-in-google-docs.html
Yelp,Social platforms,Personalize recommendations,Beyond Matrix Factorization: Using hybrid features for user-business recommendations,recommender system,2022,https://engineeringblog.yelp.com/2022/04/beyond-matrix-factorization-using-hybrid-features-for-user-business-recommendations.html
PayPal,Fintech and banking,Prioritize sales leads,Sales Pipeline Management with Machine Learning: A Lightweight Two-Layer Ensemble Classifier Framework,"propensity to buy,lead scoring",2022,https://medium.com/paypal-tech/sales-pipeline-management-with-machine-learning-15398bab913b
Grubhub,Delivery and mobility,Forecast order volume,Forecasting Grubhub Order Volume At Scale,demand forecasting,2022,https://bytes.grubhub.com/forecasting-grubhub-order-volume-at-scale-a966c2f901d2
Github,Tech,Detect vulnerabilities in code,Leveraging machine learning to find security vulnerabilities,"product feature,ops",2022,https://github.blog/2022-02-17-leveraging-machine-learning-find-security-vulnerabilities/
Uber,Delivery and mobility,Detect payment fraud,Project RADAR: Intelligent Early Fraud Detection System with Humans in the Loop,fraud detection,2022,https://www.uber.com/en-GB/blog/project-radar-intelligent-early-fraud-detection/
Gojek,Delivery and mobility,Predict food delivery times,How We Estimate Food Debarkation Time With 'Tensoba',ETA prediction,2022,https://www.gojek.io/blog/food-debarkation-tensoba
Uber,Delivery and mobility,Predict estimated time of arrival,DeepETA: How Uber Predicts Arrival Times Using Deep Learning,ETA prediction,2022,https://www.uber.com/en-GB/blog/deepeta-how-uber-predicts-arrival-times/
Trivago,"Travel,E-commerce and retail",Optimize accommodation ranking,Explore-exploit dilemma in Ranking model,search,2022,https://tech.trivago.com/post/2022-11-04-explore-exploit-dilemma-in-ranking-model
Gousto,Delivery and mobility,Recommend food items and recipes,Gousto R-series Vol 2: Tackling the Cold-Start Problem in Recipe Recommendation Engine,recommender system,2022,https://medium.com/gousto-engineering-techbrunch/gousto-r-series-vol-2-tackling-the-cold-start-problem-in-recipe-recommendation-engine-af92a434805f
Spotify,Media and streaming,Forecast user activity metrics,How We Built Infrastructure to Run User Forecasts at Spotify,ops,2022,https://engineering.atspotify.com/2022/06/how-we-built-infrastructure-to-run-user-forecasts-at-spotify/ 
Google,Tech,Summarize conversations,"
Conversation Summaries in Google Chat","product feature,NLP,generative AI",2022,https://ai.googleblog.com/2022/11/conversation-summaries-in-google-chat.html
Airbnb,"Travel,E-commerce and retail",Improve travel search experience ,Building Airbnb Categories with ML and Human-in-the-Loop,"search,product feature",2022,https://medium.com/airbnb-engineering/building-airbnb-categories-with-ml-and-human-in-the-loop-e97988e70ebb
Uber,Delivery and mobility,Send timely push notifications,How Uber Optimizes the Timing of Push Notifications using ML and Linear Programming,content personalization,2022,https://www.uber.com/en-US/blog/how-uber-optimizes-push-notifications-using-ml/
Meta,Social platforms,Personalize daily digest notifications,Improving Instagram notification management with machine learning and causal inference,"causality,content personalization",2022,https://engineering.fb.com/2022/10/31/ml-applications/instagram-notification-management-machine-learning/
Instacart,Delivery and mobility,Recommend relevant food items,Personalizing Recommendations for a Learning User,recommender system,2022,https://www.instacart.com/company/how-its-made/personalizing-recommendations-for-a-learning-user/
Expedia,"Travel,E-commerce and retail",Rank relevant travel deals,How to Optimise Rankings with Cascade Bandits,search,2022,https://medium.com/expedia-group-tech/how-to-optimise-rankings-with-cascade-bandits-5d92dfa0f16b
Doordash,Delivery and mobility,Personalize recommendations on homepage,Homepage Recommendation with Exploitation and Exploration,recommender system,2022,https://doordash.engineering/2022/10/05/homepage-recommendation-with-exploitation-and-exploration/
Linkedin,Social platforms,Improve post search functionality,Improving Post Search at LinkedIn,search,2022,https://engineering.linkedin.com/blog/2022/improving-post-search-at-linkedin
Artefact,Tech,Evaluate success of past promotions,Forecasting something that never happened: how we estimated past promotions profitability,demand forecasting,2022,https://medium.com/artefact-engineering-and-data-science/forecasting-something-that-never-happened-how-we-estimated-past-promotions-profitability-5f55cfa1d477
Doordash,Delivery and mobility,Find high-value merchants,Building the Model Behind DoorDash’s Expansive Merchant Selection,"lead scoring,demand forecasting",2022,https://doordash.engineering/2022/04/19/building-merchant-selection/
Grammarly,Tech,Suggest text edits,"Under the Hood of the Grammarly Editor, Part Two: How Suggestions Work","product feature,NLP,generative AI",2022,https://www.grammarly.com/blog/engineering/how-suggestions-work-grammarly-editor/
Amazon,Media and streaming,Suggest music to listen to,The Amazon Music conversational recommender is hitting the right notes,"recommender system,product feature,voice interface",2022,https://www.amazon.science/latest-news/how-amazon-music-uses-recommendation-system-machine-learning
Snap,Social platforms,Rank relevant ads,Machine Learning for Snapchat Ad Ranking,ad ranking / targeting,2022,https://eng.snap.com/machine-learning-snap-ad-ranking
Instacart,E-commerce and retail,Autocomplete user searches in e-commerce,How Instacart Uses Machine Learning-Driven Autocomplete to Help People Fill Their Carts,"NLP,search,product feature",2022,https://tech.instacart.com/how-instacart-uses-machine-learning-driven-autocomplete-to-help-people-fill-their-carts-9bc56d22bafb
Zillow,E-commerce and retail,Select tags for product listings,Helping Home Shoppers Find a Home to Love Through Home Insights,"NLP,product feature,item classification",2022,https://www.zillow.com/tech/helping-shoppers-find-a-home-using-home-insights/
Netflix,Media and streaming,Detect account or content fraud,Machine Learning for Fraud Detection in Streaming Services,fraud detection,2022,https://netflixtechblog.medium.com/machine-learning-for-fraud-detection-in-streaming-services-b0b4ef3be3f6
Airbnb,"Travel,E-commerce and retail",Improve customer support,How AI Text Generation Models Are Reshaping Customer Support at Airbnb,"ops,customer support,generative AI",2022,https://medium.com/airbnb-engineering/how-ai-text-generation-models-are-reshaping-customer-support-at-airbnb-a851db0b4fa3
Linkedin,Social platforms,Predict churn and upsell products,The journey to build an explainable AI-driven recommendation system,"churn prediction,propensity to buy,lead scoring",2022,https://engineering.linkedin.com/blog/2022/the-journey-to-build-an-explainable-ai-driven-recommendation-sys
Autotrader,E-commerce and retail,Personalize automotive search results ,Real-Time Personalisation of Search Results with Auto Trader's Customer Data Platform,search,2022,https://engineering.autotrader.co.uk/2022/11/23/real-time-personalisation-of-search-results-with-auto-traders-customer-data-platform.html
Peloton,Tech,Recommend fitness training videos,How We Built: An Early-Stage Machine Learning Model for Recommendations,recommender system,2022,https://www.onepeloton.com/press/articles/how-we-built-machine-learning
